X1,X2,X3,Result
0.657456,0.005114,0.00049,13920.705078
0.554502,0.003214,0.00010,11856.287109
0.345830,0.007084,0.00070,9715.132812
0.378965,0.009148,0.00083,7890.313965
0.983552,0.004444,0.00027,19971.728516
0.329390,0.005922,0.00087,6192.163574
0.462894,0.005815,0.00030,7561.103516
0.502427,0.002880,0.00044,10951.837891
0.909604,0.007508,0.00007,20329.691406
0.346958,0.001747,0.00038,6044.053223
0.729025,0.005095,0.00011,15954.398438
0.761851,0.009348,0.00075,15567.280273
0.732329,0.002171,0.00052,16724.148438
0.826954,0.008635,0.00000,18773.279297
0.340356,0.002617,0.00014,6000.693848
0.789239,0.003854,0.00003,16069.437500
0.826540,0.002237,0.00075,18763.117188
0.440269,0.004277,0.00014,10009.003906
0.611422,0.001888,0.00066,12815.181641
0.617171,0.007551,0.00012,11122.935547
0.835288,0.007336,0.00098,19194.185547
0.330892,0.001630,0.00059,6650.929688
0.876192,0.004375,0.00097,19278.615234
0.640406,0.002756,0.00063,16870.630859
0.408012,0.008454,0.00024,7483.854492
0.340356,0.002617,0.00014,5954.549805
0.313571,0.001915,0.00034,6534.847656
0.389744,0.007007,0.00071,7955.249512
0.347358,0.001711,0.00056,6129.585449
0.412618,0.008358,0.00025,49123.972656
0.418875,0.005262,0.00027,8472.904297
0.483429,0.004232,0.00012,10472.892578
0.288378,0.002217,0.00044,5673.952148
0.546037,0.006469,0.00095,10494.786133
0.776422,0.001657,0.00074,15067.415039
0.643562,0.007228,0.00042,15688.444336
0.273216,0.003434,0.00071,5924.457031
0.431666,0.005098,0.00079,8398.207031
0.611323,0.003039,0.00016,13446.528320
0.404667,0.001733,0.00010,6442.122559
0.380154,0.010557,0.00057,7018.896973
0.405339,0.007563,0.00017,8833.400391
0.311281,0.003488,0.00034,6812.000000
0.283224,0.002240,0.00012,5557.694824
0.552236,0.002198,0.00016,12620.296875
0.723132,0.004164,0.00036,14942.218750
0.641838,0.005746,0.00016,14262.498047
0.910316,0.003127,0.00017,20328.751953
0.349641,0.005656,0.00024,6684.352051
0.462698,0.008457,0.00014,10639.867188
0.283224,0.002240,0.00012,5581.936523
0.304734,0.002343,0.00047,5403.454102
0.289895,0.003224,0.00067,6067.697266
0.392173,0.002218,0.00016,7092.115234
0.357324,0.001760,0.00055,6715.659180
0.449390,0.001541,0.00012,7828.118164
0.400130,0.004843,0.00014,8617.622070
0.442916,0.002663,0.00013,6946.339355
0.442702,0.001796,0.00057,9270.960938
